기간,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL,SK가스,E1
2021년08월,1252.56,1259.54,1287.28,1259.56,,
2021년09월,1241.81,1243.92,1264.86,1243.91,,
2021년10월,1280.57,1283.33,1319.65,1277.35,,
2021년11월,1326.74,1328.58,1365.27,1322.33,,
2021년12월,1262.44,1274.37,1325.43,1271.38,,
2022년01월,1206.67,1208.58,1235.58,1205.77,,
2022년02월,1361.5,1319.57,1395.04,1307.98,,
2022년03월,1441.91,1430.19,1538.34,1420.42,,
2022년04월,1705.72,1703.12,1776.02,1708.15,,
2022년05월,1707.32,1698.1,1770.29,1710.2,,
2022년06월,1802.64,1799.85,1891.16,1805.02,,
2022년07월,1960,1948.87,1980.89,1965.34,,
2022년08월,1796.1,1780.47,1782.42,1789.66,,
2022년09월,1682.55,1683.51,1696.79,1675.45,,
2022년10월,1709.59,1702.13,1720.98,1709.07,,
2022년11월,1736.31,1756.07,1741.88,1737.87,,
2022년12월,1668.14,1673.74,1650.3,1675.38,,
2023년01월,1450.98,1444.74,1463.44,1434.37,,
2023년02월,1434.73,1425.7,1447.3,1417.71,,
2023년03월,1372.22,1370.73,1397.7,1367.45,,
2023년04월,1355.74,1356.99,1384.87,1353.78,,
2023년05월,1323.33,1329.78,1344.39,1322.65,,
2023년06월,1238.78,1248.15,1276.64,1238.51,,
2023년07월,1243.63,1245.75,1253.13,1238.85,,
2023년08월,1302.66,1302.94,1316.54,1291.7,,
